id,raw_event_id,clean_text,language,translated_text,issue_category,sentiment,urgency,location_text,geo_unit_type,geo_unit_id,trust_score,cluster_id
1,evt_001,Ward 2 me sanitation problem hai,hinglish,sanitation issue reported in Ward 2,sanitation,negative,low,Ward 2,ward,ward_2,0.93,cluster_sanitation_ward2
2,evt_002,sanitation issue reported in Ward 4,en,sanitation issue reported in Ward 4,sanitation,negative,medium,Ward 4,ward,ward_4,0.75,cluster_sanitation_ward4
3,evt_003,Ward 6 me water problem hai,hinglish,water issue reported in Ward 6,water,negative,low,Ward 6,ward,ward_6,0.77,cluster_water_ward6
4,evt_004,Ward 3 me roads problem hai,hinglish,roads issue reported in Ward 3,roads,negative,medium,Ward 3,ward,ward_3,0.84,cluster_roads_ward3
5,evt_005,Ward 4 me sanitation problem hai,hinglish,sanitation issue reported in Ward 4,sanitation,negative,high,Ward 4,ward,ward_4,0.85,cluster_sanitation_ward4
6,evt_006,roads issue reported in Ward 1,en,roads issue reported in Ward 1,roads,negative,low,Ward 1,ward,ward_1,0.84,cluster_roads_ward1
7,evt_007,electricity issue reported in Ward 7,en,electricity issue reported in Ward 7,electricity,negative,medium,Ward 7,ward,ward_7,0.76,cluster_electricity_ward7
8,evt_008,water issue reported in Ward 7,en,water issue reported in Ward 7,water,negative,high,Ward 7,ward,ward_7,0.91,cluster_water_ward7
9,evt_009,Ward 7 me roads problem hai,hinglish,roads issue reported in Ward 7,roads,negative,low,Ward 7,ward,ward_7,0.76,cluster_roads_ward7
10,evt_010,Ward 4 me healthcare problem hai,hinglish,healthcare issue reported in Ward 4,healthcare,negative,low,Ward 4,ward,ward_4,0.77,cluster_healthcare_ward4
11,evt_011,sanitation issue reported in Ward 5,en,sanitation issue reported in Ward 5,sanitation,negative,low,Ward 5,ward,ward_5,0.83,cluster_sanitation_ward5
12,evt_012,water issue reported in Ward 4,en,water issue reported in Ward 4,water,negative,medium,Ward 4,ward,ward_4,0.82,cluster_water_ward4
13,evt_013,sanitation issue reported in Ward 7,en,sanitation issue reported in Ward 7,sanitation,negative,medium,Ward 7,ward,ward_7,0.85,cluster_sanitation_ward7
14,evt_014,sanitation issue reported in Ward 5,en,sanitation issue reported in Ward 5,sanitation,negative,low,Ward 5,ward,ward_5,0.78,cluster_sanitation_ward5
15,evt_015,electricity issue reported in Ward 3,en,electricity issue reported in Ward 3,electricity,negative,low,Ward 3,ward,ward_3,0.71,cluster_electricity_ward3
