id,raw_event_id,clean_text,language,translated_text,issue_category,sentiment,urgency,location_text,geo_unit_type,geo_unit_id,trust_score,cluster_id
1,evt_001,"Ward 2 mein sanitation ki samasya hai",hinglish,"Sanitation issue reported in Ward 2",sanitation,negative,low,Ward 2,ward,ward_2,0.87,cluster_sanitation_ward2
2,evt_002,"There's a sewage overflow on MG Road, Ward 4",en,"Sewage overflow reported on MG Road, Ward 4",sewage,negative,high,Ward 4,ward,ward_4,0.94,cluster_sewage_ward4
3,evt_003,"வார்டு 6-ல் தண்ணீர் இல்லை",ta,"No water in Ward 6",water,negative,medium,Ward 6,ward,ward_6,0.82,cluster_water_ward6
4,evt_004,"Ward 3 me road full of potholes, bekar condition",hinglish,"Poor road condition with potholes in Ward 3",roads,negative,high,Ward 3,ward,ward_3,0.91,cluster_roads_ward3
5,evt_005,"Garbage not collected since 3 days in Ward 4",en,"Garbage not collected for three days in Ward 4",garbage,negative,medium,Ward 4,ward,ward_4,0.79,cluster_garbage_ward4
6,evt_006,"वार्ड 1 में बिजली की समस्या",hi,"Electricity issue in Ward 1",electricity,negative,low,Ward 1,ward,ward_1,0.88,cluster_electricity_ward1
7,evt_007,"Ward 7 lo drainage block ayyindi",te,"Drainage blocked in Ward 7",drainage,negative,high,Ward 7,ward,ward_7,0.93,cluster_drainage_ward7
8,evt_008,"Streetlights not working in Ward 7 for a week",en,"Streetlights non-functional for a week in Ward 7",streetlight,negative,medium,Ward 7,ward,ward_7,0.85,cluster_streetlight_ward7
9,evt_009,"Ward 7 mein sadak ke gaddhe, khatarnak",hinglish,"Dangerous potholes on roads in Ward 7",roads,negative,high,Ward 7,ward,ward_7,0.90,cluster_roads_ward7
10,evt_010,"Health centre in Ward 4 lacks medicines",en,"Healthcare centre in Ward 4 facing medicine shortage",healthcare,negative,medium,Ward 4,ward,ward_4,0.83,cluster_healthcare_ward4
11,evt_011,"Ward 5 me paani ki tanki khali hai",hinglish,"Water tank empty in Ward 5",water,negative,high,Ward 5,ward,ward_5,0.76,cluster_water_ward5
12,evt_012,"Mosquito menace due to stagnant water in Ward 3",en,"Stagnant water causing mosquito problem in Ward 3",sanitation,negative,medium,Ward 3,ward,ward_3,0.89,cluster_sanitation_ward3
13,evt_013,"वार्ड 8 में सड़कें बुरी हालत में",hi,"Roads in bad condition in Ward 8",roads,negative,low,Ward 8,ward,ward_8,0.81,cluster_roads_ward8
14,evt_014,"Ward 2 kuppa kasa nillada thappa",ta,"Garbage not cleared in Ward 2",garbage,negative,high,Ward 2,ward,ward_2,0.95,cluster_garbage_ward2
15,evt_015,"Frequent power cuts in Ward 6",en,"Frequent power cuts in Ward 6",electricity,negative,medium,Ward 6,ward,ward_6,0.84,cluster_electricity_ward6
16,evt_016,"Ward 1 drainage system choked",en,"Drainage system choked in Ward 1",drainage,negative,high,Ward 1,ward,ward_1,0.92,cluster_drainage_ward1
17,evt_017,"Ward 7 mein streetlights bandh",hinglish,"Streetlights off in Ward 7",streetlight,negative,low,Ward 7,ward,ward_7,0.77,cluster_streetlight_ward7
18,evt_018,"No doctor at Ward 5 health post",en,"No doctor available at Ward 5 health post",healthcare,negative,high,Ward 5,ward,ward_5,0.86,cluster_healthcare_ward5
19,evt_019,"వార్డు 4 లో మురికి కుప్పలు",te,"Heaps of garbage in Ward 4",garbage,negative,medium,Ward 4,ward,ward_4,0.80,cluster_garbage_ward4
20,evt_020,"Ward 2 me nali block hai, badbu aa rahi",hinglish,"Drain blocked in Ward 2, foul smell emanating",drainage,negative,high,Ward 2,ward,ward_2,0.88,cluster_drainage_ward2
21,evt_021,"Water supply erratic in Ward 8",en,"Erratic water supply in Ward 8",water,negative,medium,Ward 8,ward,ward_8,0.79,cluster_water_ward8
